Company,Registration number,Phone,Mobile,Website,Email,Domestic Nondomestic,County
QMAC Contracting Ltd T/A QMAC Electrical & Energy Solutions,50546,,874299255,,Andy@Qmacgroup.com,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
R Fitzgerald Electrical Services Ltd,50157,,085 844 2526,,info@fitzgerald-electrical.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Raymond Carolan Electrical Limited,50557,,+353 86 873 5126,,secretary.rceltd@gmail.com,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
RD Ventures Ltd,50394,,+353 86 318 6837,,donohoer@hotmail.com,Domestic,Dublin
Real Solar Limited,50624,,871481291,,gavin@realpv.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Red Electrical Engineering Ltd,50641,,852577429,,info@redelectricaleng.com,Domestic,"Wicklow, Wexford, Meath, Kildare, Dublin"
Reddington Group,50350,9675880,868108644,https://www.reddington.ie,,Domestic,"Roscommon, Mayo, Longford, Leitrim, Galway, Donegal, Sligo, Westmeath"
REenergy Electrical,50620,14853431,,https://reeenergy.ie,info@reenergy.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Rend Master T/A Solar West,50349,,873883033,,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Renehan Electrical,50610,,+353 87 287 3686,,renehanelectrical@gmail.com,Domestic,"Meath, Louth, Longford, Dublin, Kildare, Cavan, Westmeath"
Renewable Energy Centre,50238,064 662 2814,086 238 1166,,,Both,"Limerick, Kerry, Cork"
Renewable Power Ireland,50346,,872375877,,,Both,"Offaly, Meath, Laois, Kildare, Dublin, Carlow"
Renewables Ireland,50152,01 298 6140,087 252 2150,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
RER Electrical,50336,,838127736,,ray@rerelectrical.ie,Both,"Sligo, Westmeath, Offaly, Monaghan, Meath, Louth, Longford, Laois, Leitrim, Kildare, Dublin, Donegal, Cavan"
Resolute Engineering Group LTD,50138,01 485 3184,086 807 6840,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Revamp,50442,,+353 83 335 0558,https://www.revamp.ie,padraicgrogan+company@gmail.com,Both,"Wexford, Westmeath, Waterford, Offaly, Meath, Laois, Kilkenny, Kildare, Dublin, Carlow, Wicklow"
Riversdale Electrical Ltd,50321,,873252004,https://www.riversdaleelectrical.com,,Both,"Wicklow, Wexford, Offaly, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Dublin, Cavan, Carlow"
RJ SOLAR ENERGY LTD,50545,,851621046,,info@rjsolarenergy.net,Domestic,"Dublin, Galway, Kerry, Kildare, Tipperary, Offaly, Longford, Limerick, Cork, Clare, Waterford, Wexford"
RJC Consulting and Engineering Ltd,50348,873311323,877501114,,,Both,"Kildare, Clare, Westmeath"
RL Solar Solutions Ltd - Barrow Solar,50688,,871302330,,brian@barrowsolar.ie,Both,"Wexford, Waterford, Tipperary, Laois, Kilkenny, Kildare, Dublin, Carlow, Wicklow"
RNL Electrical & Renewable Energies Ltd,50687,,861004104,,www.rnlelectrical.ie,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Robert Smith Ltd,50470,021 4897211,087 2531659,,info@rsmithelec.com,Both,Cork
ROL Testing Limited  T/A ROL Group,50555,3332423111,852274662,,richard.olone@rolgroup.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Ronan McGrath Electrical,50740,,085 2357881,,mcgrathelectrical9@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Rosa Electrical Ltd,50657,,851422211,,Rossq656@gmail.com,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Rosehill Renewables Ltd,50666,,086 8680053,,rosehillrenewables@gmail.com,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Roslem Solar Energies T/A David Connellan Electrical,50537,,086 453 4682,,roslemsolar@gmail.com,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
RTG Electrics,50531,,+353 87 478 7415,,Raymulvany@gmail.com,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Sapphire Security Ltd,50355,12821457,868562046,,,Domestic,"Wicklow, Wexford, Kildare, Dublin"
Saunderson PV Solar,50036,906 488 089,087 191 8112,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Save Me Money Wind and Solar Ltd T/A Veep Energy,50025,01 537 7669,087 753 5961,,,Both,Dublin
SB Electrical,50695,,086 7227072,,info@sbelectrical.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
SE Systems,50454,021-2038998,086-1993358,https://www.sesystems.ie/,solarpv@sesystems.ie,Both,"Waterford, Tipperary, Limerick, Kerry, Cork"
Sean Egan Electrical,50447,,876166682,,seaneganelectrical@gmail.com,Both,"Sligo, Mayo, Galway, Donegal"
Sean Gallagher,50732,,851658841,,seangallagher92@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Sean Hardiman Electrical and Solar PV,50634,,892132392,,shelectrical@outlook.ie,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Sean Horan Ltd,50018,094 903 0895,087 684 6597,,shoran@iol.ie,Both,"Sligo, Donegal, Roscommon, Mayo, Leitrim, Galway, Clare"
Sean McCarthy Electrical,50340,,863843644,,sdmsparks@gmail.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Sean Tully Electrical Services,50554,,863114519,,seantullyelectrical@hotmail.com,Both,"Roscommon, Monaghan, Meath, Louth, Longford, Dublin, Leitrim, Cavan"
Secto Services Limited,50506,,086 385 1812,,martin.brennan@secto.ie,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
SGE Developments Limited,50584,,+353 87 331 8605,,dowlingshane370@gmail.com,Domestic,"Wicklow, Wexford, Tipperary, Offaly, Meath, Louth, Limerick, Laois, Kildare, Dublin, Clare"
Shaun McCauley Electrical,50642,,874599068,,smccauleyelectrical@gmail.com,Domestic,Donegal
Skelect Ltd,50296,,087 6310244,,,Both,Galway
Skyline Solar Ltd,50027,1800 555 888,087 255 5130,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Sol Power Solar Ltd T/A Shannon Side Solar Ltd,50462,,+353 89 702 4928,https://www.shannonsidesolar.com,pv@shannonsidesolar.com,Both,"Dublin, Galway, Kerry, Kildare, Kilkenny, Limerick, Westmeath, Waterford, Tipperary, Offaly, Cork, Clare, Carlow, Wexford, Wicklow"
Sola,50040,050 458 750,,,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Solar Beo Ltd,50107,066 915 1045,087 626 3698,,,Both,Kerry
Solar Charge LTD,50134,,087 950 6886,,,Both,Kildare
Solar Choice Limited,50246,068 69007,085 164 0292,https://www.solarchoices.ie,,Both,Limerick
Solar Clarity Ltd,50249,,086 327 6632,,,Both,Dublin
Solar Compare,50141,049 433 3800,087 343 0780,,,Both,Leitrim
Solar Elite,50112,044 966 6527,087 793 9382,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Solar Generation LTD,50033,071 931 0111,087 232 0238,,,Both,"Roscommon, Leitrim, Longford, Mayo, Donegal, Sligo"
Solar Green PV LTD,50549,872600903,872235655,,solargreenpv23@gmail.com,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Solar Grid Energy Limited,50500,,+353 85 821 7055,,Info@solargrid.ie,Both,"Wicklow, Westmeath, Wexford, Offaly, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Dublin, Carlow"
Solar Laois,50287,,087 2323114,,,Both,Laois
Solar Mode Ltd,50307,051 387 036,087 838 5411,,info@solarmode.ie,Both,"Wexford, Waterford, Tipperary, Kilkenny, Cork"
Solar Nexus,50669,,863662889,,janis.mlokits@solarnexus.ie,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Solar Path,50398,,+353 87 833 9955,https://www.solarpath.ie,ken@solarpath.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Solar Power Ireland BK Ltd,50071,,087 674 6571,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Solar Precision LTD,50601,,+353 86 339 7985,,des.walsh@solarprecision.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow, Wexford"
Solar PV Donegal,50218,074 973 9638,086 887 0536,,,Both,"Sligo, Leitrim, Donegal"
Solar PV Panels Ireland,50206,,086 051 3804,,,Both,"Sligo, Roscommon, Offaly, Longford, Leitrim, Laois, Kildare, Galway, Dublin, Cavan, Westmeath"
Solar Solutions,50453,+353 86 446 9277,,,damien@solar-solutions.ie,Both,Kildare
Solar Works Electrical Contractors Ltd,50427,,+353 87 760 3644,https://solarworkselectrical.com,info@solar-works.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Solar2Power,50093,051 381 482,087 765 5507,,,Domestic,"Wexford, Waterford, Kilkenny, Tipperary, Cork, Carlow"
SolarCert,50216,,087 283 7848,,Solarcert@outlook.ie,Both,"Kildare, Meath, Dublin"
Solarcraft Ltd,50299,01 2544988,,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Solarhill Energy Ltd,50505,,+353 86 397 9594,,office@solarhill.ie,Both,Cork
Solaris Green Energy,50223,,086 897 4036,,,Domestic,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Solarise Ltd,50409,+353 1 556 3515,+353 85 148 0356,,joanne@solarise.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
SolarPro,50131,086 275 5157,086 275 5157,,,Both,"Wicklow, Wexford, Meath, Louth, Laois, Kilkenny, Kildare, Dublin, Carlow"
Solarsmart Energy LTD,50168,1800 911 770,085 875 2105,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Solarsource.ie,50440,,+353 83 166 7699,https://www.solarsource.ie,brian@solarsource.ie,Domestic,"Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Westmeath, Wexford, Wicklow"
SOLARspan,50621,,872926612,,sharnett@solarspan.ie,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Solarstream Limited,50038,059 911 8901,059 911 8901,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
SolarVolt Ltd,50370,,087 8184597,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Solarweb Electrical Ltd,50245,,087 974 9474,,,Both,"Waterford, Tipperary, Offaly, Limerick, Laois, Kilkenny, Kildare, Cork, Carlow"
Solarwise Energy Ltd,50425,,+353 89 214 0026,,info@solarwiseenergies.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Solec Solar Limited,50342,,876204773,,,Both,"Waterford, Tipperary, Sligo, Roscommon, Offaly, Meath, Mayo, Louth, Longford, Limerick, Kilkenny, Kildare, Galway, Dublin, Clare, Westmeath, Wicklow"
Solektric,50124,,087 189 1918,,,Both,Sligo
Solgrid Limited,50123,091 335 335,,,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Solis Green Energy Ltd,50410,15312030,+353 87 136 7410,,navid@solisgreenenergy.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Solmatix Ltd,50596,7901556953,2890824000,,info@solmatix.com,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Solstice Renewables Solutions LTD,50372,,087 6872733,https://www.solsticerenewables.ie,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
South East Solar,50180,,086 179 7141,,,Both,Wexford
Southern Solar Electrical,50136,021 466 7514,085 275 5393,,,Both,"Tipperary, Limerick, Kerry, Dublin, Cork, Waterford"
Southwest Solar Electrics & Renewables,50421,,+353 87 991 3971,,info@southwestsolar.ie,Both,Limerick
SP Energy,50457,1800 991 122,085 159 7551,,info@spenergy.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Specter Technics,50122,,089 243 4513,,,Domestic,"Galway, Mayo"
SPV Energy,50474,,087 7824799,,sales@spvenergy.ie,Both,"Wicklow, Westmeath, Roscommon, Offaly, Monaghan, Meath, Louth, Longford, Leitrim, Laois, Kildare, Dublin, Cavan"
SQ9 Solar Ltd,50628,16279024,,,info@sq9solar.ie,Both,"Wicklow, Kildare, Dublin"
SSP Electrical Limited,50730,,863473655,,sspelectriccalltd@outlook.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Start Solar Ireland Ltd,50189,028 920 2707 9,077 302 6855 0,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Strict Electrical Ltd,50331,,864455539,,,Both,"Monaghan, Meath, Louth, Kildare, Dublin, Cavan"
Sugrue Solar,50483,,874359680,,kieransugrue25@hotmail.com,Both,"Limerick, Kerry, Cork"
Sun Arc Solar Systems,50267,,087 404 5297,,,Both,Carlow
Sunergy Solar,50654,9355920,879018671,,padraig@sunergysolar.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Sunnybee Ltd,50429,,+353 87 958 0867,,sunnybeelimited@gmail.com,Both,"Dublin, Waterford, Kilkenny"
Sunrea Solar Ltd,50616,,861570459,,info@sunreasolarltd.com,Both,"Offaly, Mayo, Limerick, Laois, Galway, Roscommon, Clare, Westmeath"
Sunstream Energy Ltd,50020,051 330 386,087 798 6200,,,Both,"Carlow, Cork, Kilkenny, Tipperary, Waterford, Wexford"
Sunvolt limited,50525,,+353 85 273 7333,,Gareth@sunvolt.ie,Both,"Wicklow, Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Swift Electrical T/A Advance Solar,50405,+353 45 810 157,+353 85 122 0345,https://www.advancesolar.ie,advancesolar@outlook.ie,Both,"Wicklow, Wexford, Waterford, Westmeath, Tipperary, Roscommon, Offaly, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Galway, Dublin, Cavan, Carlow"
Switch2Solar,50228,087 232 3113,087 341 6900,,,Both,"Tipperary, Sligo, Roscommon, Offaly, Meath, Mayo, Longford, Limerick, Leitrim, Kildare, Laois, Galway, Dublin, Clare, Cavan, Westmeath"
Swyft Energy,50118,01 504 2111,083 880 4996,,,Both,Cork
T MCNally Electrical Services,50595,,+353 86 198 3361,,DAVYMCNALLY@GMAIL.COM,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
T.W McKitterick Electrical Contractors Ltd,50158,042 966 1917,086 258 9559,,,Both,"Monaghan, Meath, Louth, Cavan"
Tanner Electrical and Plumbing Services LTD,50264,,086 848 3864,https://www.tannerelectricalservices.ie/,,Domestic,Cork
TDE Group,50738,,085 7023474,,info@tdegroup.ie,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Tec FM,50692,059 9168076,,,roisin@tecfm.ie,Both,"Laois, Kilkenny, Kildare, Dublin, Carlow, Waterford"
TFM Electrical Services Ltd,50200,,087 2576460,,,Domestic,"Mayo, Galway, Clare, Roscommon"
Tirconaill Renewables LTD,50520,+353 83 481 4816,+353 83 178 5184,,raymond@tirconaillrenewables.com,Both,"Sligo, Leitrim, Donegal"
Tirconnaill Contracts Ltd,50644,,863510737,,andrewmctaggart@live.ie,Domestic,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Titan Electrical Ltd,50232,,086 856 8230,,,Both,"Monaghan, Meath, Louth, Longford, Leitrim, Dublin, Donegal, Cavan"
TMC Complete Electrical Limited TA Solar Pv Energy,50164,,087 966 9362,,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Tobin Electrical,50371,,087 6954787,,,Both,"Waterford, Tipperary, Limerick, Kerry, Cork"
Tom Costello Electrical Limited,50383,,087 220 5690,,,Both,"Mayo, Galway"
Toolen PV,50125,,086 055 3359,,,Both,Cork
TRE Energy (IRL) Limited,50129,+353 74 971 5056,0044 7377 444 122,https://www.treenergy.ie,,Both,"Wicklow, Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Treacy Solar,50433,,+353 83 344 4615,https://treacysolar.com,admin@treacysolar.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
True North Electrical Ltd,50526,+353 87 274 5122,+353 87 234 7762,,truenorthpvsolar@gmail.com,Domestic,Donegal
Tungsten Engineering Ltd,50291,,086 316 7655,,info@tungstenengineering.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
